Rank,Cafe,Menu,Price,Address,URL
24,La Pane,Vegetarian Panino,$5.99,"2954 W. Irving Park Rd.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/
25,Pastoral,Cali Chèvre,$7.52,Multiple,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/
26,Max’s Deli,Pastrami,$11.95,"191 Skokie Valley Rd., Highland Park,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/
27,Lucky’s Sandwich Co.,The Fredo,$7.50,Multiple,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/
28,City Provisions,Smoked Ham,$12.95,"1818 W. Wilson Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/
29,Papa’s Cache Sabroso,Jibarito,$7,"2517 W. Division St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/
30,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,218 W. Kinzie,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/
31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79,Multiple,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/
32,La Fournette,Tuna Salad,$9.75,"1547 N. Wells St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/
33,Paramount Room,Paramount Reuben,$13,"415 N. Milwaukee Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/
34,Melt Sandwich Shoppe,The Istanbul,$7.95,"1840 N. Damen Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/
35,Floriole Cafe & Bakery,B.A.D.,$9,"1220 W. Webster Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/
36,First Slice Pie Café,Duck Confit and Mozzarella,$9,"5357 N. Ashland Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/
37,Troquet,Croque Monsieur,$8,"1834 W. Montrose Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/
38,Grahamwich,Green Garbanzo,$8,"615 N. State St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/
39,Saigon Sisters,The Hen House,$7,Multiple,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/
40,Rosalia’s Deli,Tuscan Chicken,$6,"241 N. York Rd., Elmhurst,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/
41,Z&H MarketCafe,The Marty ,$7.25,"1323 E. 57th St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/
42,Market House on the Square,Whitefish,$11,"655 Forest Ave., Lake Forest,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/
43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,"Hotel Lincoln, 1816 N. Clark St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/
44,Marion Street Cheese Market,Cauliflower Melt,$9,"100 S. Marion St., Oak Park,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/
45,Cafecito,Cubana,$5.49,"26 E. Congress Pkwy.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/
46,Chickpea,Kufta,$8,"2018 W. Chicago Ave.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/
47,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,"25 E. Delaware Pl.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/
48,Zenwich,Beef Curry,$7.50,"416 N. York St., Elmhurst,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/
49,Toni Patisserie,Le Végétarien,$8.75,"65 E. Washington St.,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/
50,Phoebe’s Bakery,The Gatsby,$6.85,"3351 N. Broadway,",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/
